Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev
sblim-cmpi-devel,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-fsvol,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-network,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-nfsv3,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-nfsv4,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-params,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-sysfs,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-syslog,,,N,N,Y,Y,N,N,,,NA,N
sblim-indication_helper,,,N,N,Y,Y,N,N,,,NA,N
sblim-sfcCommon,,,N,N,Y,Y,N,N,,,NA,N
sblim-sfcb,,,N,N,Y,Y,N,N,,,NA,N
sblim-sfcc,,,N,N,Y,Y,N,N,,,NA,N
sblim-testsuite,,,N,N,Y,Y,N,N,,,NA,N
sblim-wbemcli,,,N,N,Y,Y,N,N,,,NA,N
scl-utils,Archana,,N,N,Y,Y,N,N,,P0,NA,N
scotch,,,N,N,Y,Y,N,N,,,NA,N
screen,,,N,N,Y,Y,N,N,,,NA,N
sdparm,Archana,,N,N,Y,Y,N,N,,P0,NA,N
sendmail,,,N,N,N,N,Y,N,,,NA,N
serd,Jyoti,,N,N,Y,Y,N,N,,,NA,N
servletapi4,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
servletapi5,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
setserial,,,N,N,Y,Y,N,N,,,NA,N
setuptool,,,N,N,Y,Y,N,N,,,NA,N
sgpio,,,N,N,Y,Y,N,N,,,NA,N
shapelib,,,N,N,Y,Y,N,N,,,NA,N
sip,Archana,,N,N,Y,Y,N,N,,P0,NA,N
skkdic,Archana,,N,N,Y,Y,N,N,,P0,NA,N
slirp4netns,Archana,,N,N,Y,Y,N,N,,P0,NA,N
smc-tools,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
sombok,,,N,N,Y,Y,N,N,,,NA,N
sord,Jyoti,,N,N,Y,Y,N,N,,,NA,N
sound-theme-freedesktop,,,N,N,Y,Y,N,N,,,NA,N
